,Question,Equation,Combined,Answer
681,Danny collects bottle caps and wrappers. He found w bottle caps and x wrappers at the park. Now he has y wrappers and z bottle caps in his collection. How many more wrappers than bottle caps does danny have now?,( y - z ),Danny collects bottle caps and wrappers. He found 15 bottle caps and 18 wrappers at the park. Now he has 67 wrappers and 35 bottle caps in his collection. How many more wrappers than bottle caps does danny have now?,32
682,Melissa scored a total of w points in x games scoring the same for each game. How many points did she score in each game?,( w / x ),Melissa scored a total of 91 points in 13 games scoring the same for each game. How many points did she score in each game?,7
683,Robin's hair was w inches long. He cut off some inches of her hair. If his hair is now x inches long How much of his hair did he cut?,( w - x ),Robin's hair was 17 inches long. He cut off some inches of her hair. If his hair is now 13 inches long How much of his hair did he cut?,4
684,Baker made w pastries and x cakes. If he sold y cakes and z pastries How many pastries would baker still have?,( w - z ),Baker made 56 pastries and 124 cakes. If he sold 104 cakes and 29 pastries How many pastries would baker still have?,27
685,The school is planning a field trip. The school has w classrooms. There are x students in each classroom in the school. If there are y seats on each school bus How many buses are needed to take the trip?,( w * ( x / y ) ),The school is planning a field trip. The school has 67 classrooms. There are 66 students in each classroom in the school. If there are 6 seats on each school bus How many buses are needed to take the trip?,737
686,The Razorback t-shirt shop makes $ w dollars off each t-shirt sold. During the Arkansas game and the Texas tech game they sold a total of x t-shirts. If they sold y t-shirts during the Arkansas game How much money did they make from selling the t-shirts?,( w * x ),The Razorback t-shirt shop makes $ 87 dollars off each t-shirt sold. During the Arkansas game and the Texas tech game they sold a total of 95 t-shirts. If they sold 47 t-shirts during the Arkansas game How much money did they make from selling the t-shirts?,8265
687,w birds were sitting on the fence. x more birds and y more storks came to join them. How many more storks than birds are sitting on the fence?,( y - ( w + x ) ),3 birds were sitting on the fence. 2 more birds and 6 more storks came to join them. How many more storks than birds are sitting on the fence?,1
688,The school is planning a field trip. The school has w classrooms. There are x students in the school and y school buses. If all buses are full How many seats are in each bus?,( x / y ),The school is planning a field trip. The school has 21 classrooms. There are 98 students in the school and 7 school buses. If all buses are full How many seats are in each bus?,14
689,Randy has w blocks. He uses x blocks to build a tower and y blocks to build a house. How many blocks did he use to build the tower and the house altogether?,( x + y ),Randy has 58 blocks. He uses 27 blocks to build a tower and 53 blocks to build a house. How many blocks did he use to build the tower and the house altogether?,80
690,Every day Ryan spends w hours on learning english and x hours on learning chinese. If he learns for y days How many hours does he spend on learning chinese in all?,( x * y ),Every day Ryan spends 5 hours on learning english and 4 hours on learning chinese. If he learns for 6 days How many hours does he spend on learning chinese in all?,24
691,The Razorback shop makes $ w dollars off each t-shirt and $ x off each jersey. During the Arkansas and Texas tech game they sold y t-shirts and z jerseys. How much more does a jersey cost than a t-shirt?,( x - w ),The Razorback shop makes $ 86 dollars off each t-shirt and $ 232 off each jersey. During the Arkansas and Texas tech game they sold 254 t-shirts and 43 jerseys. How much more does a jersey cost than a t-shirt?,146
692,Danny collects bottle caps and wrappers. He found w wrappers and x bottle caps at the park. Now he has y bottle caps and z wrappers in his collection. How many wrappers did danny have at first?,( z - w ),Danny collects bottle caps and wrappers. He found 66 wrappers and 39 bottle caps at the park. Now he has 16 bottle caps and 68 wrappers in his collection. How many wrappers did danny have at first?,2
693,Haley grew w trees in her backyard. After a typhoon x died. How many more trees died in the typhoon than those that survived?,( x - ( w - x ) ),Haley grew 14 trees in her backyard. After a typhoon 9 died. How many more trees died in the typhoon than those that survived?,4
694,He has w apples more than Adam and Jackie together do. Adam and Jackie have x apples between them. How many apples does He have?,( x + w ),He has 9 apples more than Adam and Jackie together do. Adam and Jackie have 7 apples between them. How many apples does He have?,16
695,Dave had w apps and x files on his phone. After deleting some apps and files he had y files and 2 apps left. How many more files than apps does he have left on the phone?,( y - z ),Dave had 11 apps and 3 files on his phone. After deleting some apps and files he had 24 files and 2 apps left. How many more files than apps does he have left on the phone?,22
696,Rebecca wants to split a collection of eggs into groups of w. If each group has x eggs How many eggs does Rebecca have?,( w * x ),Rebecca wants to split a collection of eggs into groups of 11. If each group has 2 eggs How many eggs does Rebecca have?,22
697,"Jack received w emails in the morning, x emails in the afternoon and y emails in the evening. How many more emails did Jack receive in the morning than in the afternoon?",( w - x ),"Jack received 10 emails in the morning, 7 emails in the afternoon and 17 emails in the evening. How many more emails did Jack receive in the morning than in the afternoon?",3
698,Adam could fit w action figures on each shelf in his room. His room has x shelves and y cabinets. How many total action figures could his shelves hold?,( w * x ),Adam could fit 11 action figures on each shelf in his room. His room has 4 shelves and 40 cabinets. How many total action figures could his shelves hold?,44
699,Lucy went to the grocery store. She bought w packs of cookie and x packs of cake. How many more packs of cookie did she buy over cake?,( w - x ),Lucy went to the grocery store. She bought 10 packs of cookie and 4 packs of cake. How many more packs of cookie did she buy over cake?,6
